ComuneCercaOLD,Comune_residenza_old_MANUALE,appoggio,Comune_residenza,Frequenza sinistri 2021,Costo Medio Totale 2021,Veicoli Anno 2021,Frequenza sinistri 2020,Costo Medio totale 2020,Veicoli Anno 2020,Frequenza sinistri 2019,Costo Medio totale 2019,Veicoli Anno 2019,Frequenza sinistri 2018,Costo Medio totale 2018,Veicoli Anno 2018,Regione,Provincia,Zona
Cartoceto,,,Cartoceto,0.040463084,3626.402367,4176.646575,0.028134812,3354.589744,4158.54918,0.048542083,3240.144279,4140.736986,0.05209116,3453.076923,3993,Marche,Pesaro e Urbino,Centro
Montecalvo in Foglia,,,Montecalvo in Foglia,0.049570819,6787.391304,1391.947945,0.026063735,2991.222222,1381.229508,0.043323356,4919.183333,1384.934247,0.045020453,3506.622951,1354.939726,Marche,Pesaro e Urbino,Centro
Colbordolo,Colbordolo,,Vallefoglia,0.047066953,4225.988796,7584.939726,0.035006416,3602.813492,7198.680328,0.055604863,6676.725926,4855.690411,0.059305902,8794.180769,4384.049315,,,
Megliadino San Fidenzio,Megliadino San Fidenzio,,Borgo Veneto,0.037769157,7097.992481,3521.391781,0.025356736,2458.402299,3431.040984,0.034325964,3263.076923,3408.49863,0.037915658,2865.277778,2848.427397,Veneto,Padova,Nord-est
Fano,,,Fano,0.04395393,4163.833703,30782.23014,0.034889158,3360.777251,30238.62022,0.05458526,4712.209581,30594.33973,0.053975273,3534.336634,29939.63562,Marche,Pesaro e Urbino,Centro
Frontone,,,Frontone,0.028183152,2022.047619,745.1260274,0.021987594,2140.8125,727.6830601,0.034391913,3661.84,726.9150685,0.022361171,1360.125,715.5260274,Marche,Pesaro e Urbino,Centro
Macerata Feltria,,,Macerata Feltria,0.040649038,2725,1057.835616,0.031422893,4867.441176,1082.013661,0.042847193,2136.266667,1050.243836,0.041663748,39230.02273,1056.073973,Marche,Pesaro e Urbino,Centro
Fossombrone,,,Fossombrone,0.036412723,9200.03125,5272.882192,0.033614775,2941.156069,5146.546448,0.04574632,5779.838983,5158.884932,0.042822001,8829.409302,5020.783562,Marche,Pesaro e Urbino,Centro
Fratte Rosa,,,Fratte Rosa,0.03031892,3191.5,527.7232877,0.028093912,3428.8,533.9234973,0.051692133,2456.75,541.6684932,0.046660394,2310.04,535.7863014,Marche,Pesaro e Urbino,Centro
Mercatello sul Metauro,,,Mercatello sul Metauro,0.03567696,4568.769231,728.7616438,0.025803914,4706.052632,736.3224044,0.028805394,3417.428571,729.030137,0.020967693,2135.2,715.3863014,Marche,Pesaro e Urbino,Centro
